"","x","count","F","L","U"
"1",1,804,0.172898494205776,0.132215057454829,0.208104506203684
"2",2,600,0.173883360483551,0.134106013508511,0.213986336902391
"3",3,770,0.174369446408975,0.124165366492575,0.217782347235769
"4",4,726,0.175046546580489,0.135294355169922,0.21005170148319
"5",5,749,0.178309324886794,0.140136466275689,0.211770376976045
"6",6,790,0.178506797993522,0.140869684634361,0.214507784125438
"7",7,765,0.179382584243118,0.143137602914914,0.214605843460991
"8",8,677,0.179937088108781,0.142828139697031,0.215738410356653
"9",9,1675,0.180608450431792,0.138590908004577,0.214811557747921
"10",10,876,0.180643207590255,0.14012188888275,0.220652754190093
"11",11,1094,0.181527468019941,0.145048149304673,0.216871234957483
"12",12,686,0.181786038111035,0.143613967433448,0.217773590251235
"13",13,1963,0.182906314250005,0.146403793624112,0.222436843892679
"14",14,804,0.184066763392578,0.147392830510691,0.217475011561471
"15",15,720,0.185065963635751,0.147682663417838,0.218805344239643
"16",16,816,0.185412835277813,0.154612548512577,0.217377611479849
"17",17,707,0.185492996943539,0.145089803227933,0.224823733225138
"18",18,644,0.185503488428314,0.147031619717482,0.220949744268056
"19",19,642,0.185925271797516,0.144005197409595,0.227125808542299
"20",20,878,0.186418164386175,0.14491532318408,0.221900795269342
"21",21,779,0.187014596968364,0.150889349529111,0.224189406714067
"22",22,588,0.187111892577325,0.14441397816852,0.226177114627504
"23",23,882,0.188600349181605,0.148697075827359,0.226219235015622
"24",24,707,0.18910782188768,0.151845425705126,0.2240996540921
"25",25,861,0.189617001179857,0.143621894443214,0.228929814211482
"26",26,642,0.190250540907576,0.149552710710529,0.226529848933144
"27",27,755,0.190453361092609,0.156577762270375,0.229185806993609
"28",28,629,0.19175407582875,0.157283372527956,0.223118538084165
"29",29,808,0.192379579772426,0.153063917278457,0.231089767349593
"30",30,899,0.192775995423744,0.159710786916011,0.22963784140048
"31",31,695,0.192970657616429,0.157700971678449,0.230593241608798
"32",32,819,0.193048816822644,0.152438213672488,0.227816012780309
"33",33,618,0.194202023402885,0.149878177859534,0.233458155445307
"34",34,817,0.194487633610109,0.159887547479312,0.230667714123644
"35",35,696,0.195663213729569,0.158216161135674,0.237942606440174
"36",36,885,0.196306615219714,0.156450190481828,0.238439996104594
"37",37,874,0.196902284189808,0.16026950358797,0.233595721099289
"38",38,782,0.197128760087424,0.158192077733725,0.232119249514235
"39",39,844,0.197230028492396,0.157474968038243,0.236743283306146
"40",40,769,0.197652439953089,0.154313020794928,0.24212913999555
"41",41,775,0.198292982107497,0.16380517365246,0.238004621901143
"42",42,811,0.198888232474395,0.162745724222299,0.239723369333437
"43",43,756,0.199727474327196,0.16391029313453,0.245701358119084
"44",44,754,0.199996553795796,0.161441111700274,0.236571649320803
"45",45,835,0.200340885053133,0.171227163412293,0.231825288502335
"46",46,657,0.200661046267953,0.165439539747922,0.242467630910389
"47",47,846,0.20107046452123,0.161486884137111,0.241925605105158
"48",48,839,0.201111421439209,0.168688798830118,0.241351356211654
"49",49,816,0.202327033623415,0.169255378897798,0.236741093488918
"50",50,806,0.203134866158447,0.166666929860798,0.243414585835791
"51",51,847,0.203287079663196,0.166530035935028,0.245357483853154
"52",52,740,0.203347748493792,0.165854633500805,0.241478050037777
"53",53,802,0.204996984758111,0.164103295045397,0.246356707732971
"54",54,746,0.205151560839288,0.167720077796373,0.251908789150849
"55",55,646,0.205578564807255,0.169643796012762,0.244431201911982
"56",56,739,0.205867251228411,0.170307715429599,0.248435661640727
"57",57,657,0.206088780950521,0.168463111434206,0.247761586252238
"58",58,856,0.206270257961069,0.170891403809152,0.241725904114908
"59",59,818,0.206275397075939,0.168239923531225,0.243965165980342
"60",60,581,0.206782449725713,0.167561828879198,0.248015045835872
"61",61,831,0.210136977212361,0.167688858721304,0.255383702998139
"62",62,837,0.211638904675778,0.175516197549802,0.258028256178947
"63",63,700,0.214072311166417,0.173308569781185,0.257484196720937
"64",64,901,0.21559416282133,0.176502275997252,0.259327600602917
