"","2.5%","50%","97.5%","sample_size"
"15",0.465518231983401,0.480055334087871,0.493961068999603,183
"16",0.529558833926056,0.544900666689627,0.559296979087338,356
"17",0.600252667435139,0.615799460873644,0.630535908560617,450
"18",0.676973867547062,0.692887401397613,0.707777018036584,1359
"19",0.760045617612971,0.77639812394644,0.791563224119398,1483
"20",0.849776304686562,0.866132603530499,0.881545508159514,1580
"21",0.945546557141321,0.962275127927852,0.977589768024144,1509
"22",1.04750044940507,1.0643338657002,1.07966308064386,1669
"23",1.15559123095869,1.17221559019238,1.18768019828405,1707
"24",1.26955156758884,1.28561241308322,1.30161949920865,1745
"25",1.3883394224005,1.40404235414004,1.41966087258405,1838
"26",1.51150637816931,1.52701544948029,1.54249311190186,1955
"27",1.63814241877936,1.65359815469434,1.66922809153932,1753
"28",1.76770182568624,1.78302169527562,1.79842783279119,1858
"29",1.89955666194285,1.91460892280527,1.92929505680606,1762
"30",2.03207472509563,2.04682151115627,2.06130949213199,2205
"31",2.16422927472327,2.17912304541408,2.19417276978916,2015
"32",2.29528979126138,2.31005218947864,2.32578278897681,1900
"33",2.42245804668369,2.4385125817248,2.4551478105813,1848
"34",2.54584505887452,2.56335002929494,2.5808209885333,1803
"35",2.66318919451949,2.68275450979957,2.70255561146524,1799
"36",2.77354291111167,2.79610064290714,2.81795159184098,2045
"37",2.87692901159182,2.90174622024705,2.92546239461997,1630
"38",2.97162593314044,2.99908346501631,3.02390737754959,1777
"39",3.05529416999467,3.08601390648059,3.11236164529252,1480
"40",3.12679888556886,3.16156439752082,3.1918131916573,1433
"41",3.18711467033102,3.22582204494579,3.25876063785724,1405
"42",3.23355594273581,3.27695678172684,3.31430069145628,1293
"43",3.26806370677026,3.31433766378227,3.35602940276824,1172
"44",3.28837104748884,3.33806841739011,3.38470873267188,1084
"45",3.29407572255007,3.34832895942413,3.40109674688775,1021
"46",3.28680537315794,3.34379297057559,3.40252464602521,1190
"47",3.2644586748497,3.32515682807591,3.3888302101863,1135
"48",3.22729026842036,3.29255160318705,3.3634769504021,1153
"49",3.17878470909379,3.24677740952227,3.32350825627794,736
