"","2.5%","50%","97.5%",""
"Bangladesh",2.2980824067011,2.31289660700913,2.32862893763292,51331
"Dhaka",2.29626151473747,2.32562508959487,2.35779043111944,10364
"Barishal",2.20129033678248,2.24198189663965,2.28405440829405,4539
"Chattogram",2.71816728336541,2.75517948960516,2.78993116458329,9135
"Khulna",2.00032175320117,2.02998801944606,2.05843398165905,8410
"Mymenshing",2.35229401586372,2.40542501613944,2.4643571672144,2670
"Rajshahi",1.97185806888815,2.0064337500482,2.04441135442384,6363
"Rangpur",2.14436839965487,2.17734341679168,2.21190279441356,6430
"Sylhet",2.83290611634068,2.89518901863346,2.95568964243809,3420
