"","2.5%","50%","97.5%",""
"Bangladesh",2.28307606633747,2.29960294870621,2.31472977944006,51331
"Dhaka",2.28078927737011,2.31142908003223,2.34157547682742,10364
"Barishal",2.1890844868043,2.23038056671674,2.27545105252759,4539
"Chattogram",2.69707149818623,2.73189756704592,2.76968989681159,9135
"Khulna",1.99147505975085,2.02427689171789,2.05374034323695,8410
"Mymenshing",2.33414038577054,2.38543742508704,2.44703081897498,2670
"Rajshahi",1.96898969973864,2.00029009832653,2.03293538251635,6363
"Rangpur",2.12697085071734,2.16518011633208,2.19854068049811,6430
"Sylhet",2.813387789689,2.86923678637114,2.92855801556841,3420
