"","2.5%","50%","97.5%",""
"Bangladesh",2.29700204174779,2.31073733110571,2.32417992378396,51331
"Dhaka",2.28321794148986,2.30589869348884,2.32861703336814,10364
"Barishal",2.21722911601848,2.25174817063692,2.28969009173716,4539
"Chattogram",2.74645690433867,2.77496769654394,2.80295150641596,9135
"Khulna",1.99358890550031,2.01874392218985,2.04334820484967,8410
"Mymenshing",2.37024969895681,2.41117034061907,2.45236768664098,2670
"Rajshahi",1.98566575812726,2.01082127111274,2.03597983456639,6363
"Rangpur",2.13744135260482,2.16533756766307,2.1931989513092,6430
"Sylhet",2.86806060126932,2.91211613558182,2.95747957970988,3420
